iteration,node_index,gene_name,cell_id,overlaps_nucleus,degree
2,5120,FCGBP,dgnkaclh-1,0,2
2,2049,CCL4,UNASSIGNED,0,2
2,1025,APOE,djcjhfcd-1,0,1
2,520,APOE,dgnkncjk-1,0,0
2,4617,FCER1G,UNASSIGNED,0,1
2,8201,ST6GAL1,djcjhfcd-1,0,0
2,1034,APOE,djcjhfcd-1,0,0
2,4108,CYFIP1,UNASSIGNED,0,0
2,7177,OLR1,djckpagf-1,0,1
2,1038,APOE,djcjhfcd-1,0,3
2,2060,CCL4,UNASSIGNED,0,0
2,6672,MAOB,djcjhfcd-1,0,0
2,529,APOE,dgnkncjk-1,0,0
2,206,ANXA1,djcjhfcd-1,0,0
2,4115,CYFIP1,djcjhfcd-1,0,0
2,1558,C3,dgnkncjk-1,0,1
2,536,APOE,dgnkncjk-1,0,0
2,27,AIF1,djcjhfcd-1,1,2
2,2078,CCL4,UNASSIGNED,0,1
2,5662,GJA1,djcjhfcd-1,1,0
2,1572,C3,djcjhfcd-1,1,0
2,6694,MAOB,djcjhfcd-1,1,0
2,3623,CHI3L1,djcjhfcd-1,1,0
2,4136,CYFIP1,djcjhfcd-1,0,0
2,3626,CHI3L1,UNASSIGNED,0,0
2,7723,RGS16,djcjhfcd-1,1,0
2,556,APOE,djcjhfcd-1,1,0
2,4139,CYFIP1,dgnkncjk-1,0,0
2,46,AIF1,UNASSIGNED,0,0
2,6193,IFITM3,UNASSIGNED,0,0
2,8242,STAB1,UNASSIGNED,0,0
2,5170,FCGR1A,UNASSIGNED,0,2
2,2100,CCL4,djckpagf-1,0,1
2,564,APOE,dgnkncjk-1,0,0
2,4149,CYFIP1,djcjhfcd-1,0,1
2,2758,CD44,djcjhfcd-1,1,1
2,568,APOE,djcjhfcd-1,1,0
2,4665,FCGBP,djcjhfcd-1,1,2
2,7222,OTUD1,dgnkaclh-1,0,0
2,4668,FCGBP,dgnkncjk-1,0,1
2,6205,IFITM3,dgnkaclh-1,0,0
2,5694,GPNMB,djcjhfcd-1,0,0
2,7743,RGS16,djcjhfcd-1,1,0
2,576,APOE,dgnkncjk-1,1,0
2,7744,RGS16,djcjhfcd-1,1,1
2,1602,C3,dgnkaclh-1,0,0
2,2761,CD44,djcjhfcd-1,1,0
2,4166,CYFIP1,djcjhfcd-1,1,0
2,6727,MGST1,UNASSIGNED,0,0
2,7240,OTUD1,djckpagf-1,0,1
2,2635,CD4,dgnkaclh-1,1,0
2,8274,STAT3,djcjhfcd-1,0,0
2,2131,CCL4,djckpagf-1,0,1
2,7252,OTUD1,UNASSIGNED,0,1
2,8277,STAT3,djcjhfcd-1,1,1
2,596,APOE,dgnkaclh-1,1,1
2,4088,CYFIP1,djckpagf-1,0,1
2,603,APOE,djcjhfcd-1,0,0
2,6237,IFITM3,djcjhfcd-1,0,0
2,1117,APOE,djcjhfcd-1,1,0
2,2143,CCL4,UNASSIGNED,0,0
2,607,APOE,djcjhfcd-1,1,0
2,94,ANXA1,djcjhfcd-1,0,0
2,1122,APOE,UNASSIGNED,0,1
2,4707,FCGBP,dgnkaclh-1,0,0
2,4708,FCGBP,djcjhfcd-1,1,0
2,1124,APOE,djcjhfcd-1,1,2
2,1638,C3,UNASSIGNED,0,1
2,1127,APOE,djcjhfcd-1,1,0
2,1125,APOE,djcjhfcd-1,1,0
2,2664,CD4,dgnkaclh-1,1,0
2,3178,CHI3L1,djcjhfcd-1,1,0
2,2669,CD4,dgnkaclh-1,0,1
2,3182,CHI3L1,UNASSIGNED,0,0
2,5231,FCGR3A,UNASSIGNED,0,1
2,1135,APOE,djcjhfcd-1,0,5
2,1138,APOE,djcjhfcd-1,0,4
2,4725,FCGBP,djckpagf-1,0,1
2,3702,CTSD,djcjhfcd-1,1,0
2,631,APOE,djcjhfcd-1,1,0
2,5752,GPR34,djcjhfcd-1,1,1
2,3704,CTSD,djcjhfcd-1,1,1
2,634,APOE,djcjhfcd-1,1,0
2,6779,MGST1,djcjhfcd-1,1,0
2,2684,CD4,UNASSIGNED,0,2
2,5757,GZMB,djcjhfcd-1,0,0
2,644,APOE,djcjhfcd-1,0,1
2,645,APOE,UNASSIGNED,0,0
2,5765,HES1,djcjhfcd-1,1,0
2,647,APOE,UNASSIGNED,0,1
2,1677,C3,djckpagf-1,0,0
2,8333,TGFB1,UNASSIGNED,0,0
2,3216,CHI3L1,djcjhfcd-1,0,0
2,1683,C3,djckpagf-1,0,0
2,5270,FCGR3A,djckpagf-1,0,1
2,6296,IGFBP5,UNASSIGNED,0,0
2,1688,C3,djcjhfcd-1,0,0
2,666,APOE,djcjhfcd-1,1,2
2,2716,CD4,djcjhfcd-1,0,1
2,3740,CTSD,djcjhfcd-1,1,0
2,8350,TGFB1,djcjhfcd-1,1,0
2,3742,CTSD,djcjhfcd-1,1,2
2,8354,TGFB1,djcjhfcd-1,0,2
2,4261,EGFR,djcjhfcd-1,0,0
2,679,APOE,djcjhfcd-1,1,0
2,6317,IGFBP5,dgnkncjk-1,0,0
2,8366,TGFB2,djcjhfcd-1,0,0
2,687,APOE,djcjhfcd-1,0,0
2,7858,SERPINA3,djcjhfcd-1,0,0
2,7859,SERPINA3,djckpagf-1,0,0
2,2741,CD44,djcjhfcd-1,0,0
2,4279,EGFR,djcjhfcd-1,0,0
2,8376,TGFBI,djcjhfcd-1,1,0
2,4281,EGFR,djcjhfcd-1,0,0
2,698,APOE,djcjhfcd-1,1,1
2,1210,APP,djcjhfcd-1,0,0
2,5308,FCGR3A,UNASSIGNED,0,0
2,2237,CCL4,UNASSIGNED,0,0
2,1216,APP,UNASSIGNED,0,0
2,5825,HLA-DMA,UNASSIGNED,0,1
2,6849,MS4A6A,UNASSIGNED,0,2
2,5315,FCGR3A,UNASSIGNED,0,3
2,7364,PLEK,UNASSIGNED,0,0
2,7873,SERPINA3,UNASSIGNED,0,0
2,3776,CTSD,UNASSIGNED,0,1
2,3783,CTSD,djcjhfcd-1,1,0
2,712,APOE,djcjhfcd-1,1,0
2,6344,IKZF2,djcjhfcd-1,0,0
2,8394,TGFBI,djcjhfcd-1,1,1
2,8393,TGFBI,UNASSIGNED,0,0
2,8396,TGFBI,UNASSIGNED,0,0
2,714,APOE,UNASSIGNED,0,0
2,3790,CTSD,djcjhfcd-1,1,0
2,8399,TGFBI,djcjhfcd-1,1,1
2,3278,CHI3L1,djcjhfcd-1,0,0
2,4817,FCGBP,UNASSIGNED,0,0
2,7887,SERPINA3,djcjhfcd-1,1,0
2,1747,CAPG,djcjhfcd-1,1,0
2,8400,TGFBI,djcjhfcd-1,1,1
2,8405,TGFBI,djcjhfcd-1,1,0
2,3798,CTSD,djcjhfcd-1,1,0
2,5333,FCGR3B,UNASSIGNED,0,0
2,8406,TGFBI,djcjhfcd-1,0,0
2,4823,FCGBP,dgnkncjk-1,0,0
2,8184,ST6GAL1,djcjhfcd-1,1,0
2,3796,CTSD,UNASSIGNED,0,1
2,6364,IL1B,dgnkaclh-1,0,0
2,733,APOE,djcjhfcd-1,0,0
2,4317,EGFR,djcjhfcd-1,0,0
2,2271,CCL4,UNASSIGNED,0,1
2,4832,FCGBP,dgnkncjk-1,0,0
2,5345,FCGR3B,UNASSIGNED,0,1
2,737,APOE,djcjhfcd-1,1,0
2,3810,CTSD,UNASSIGNED,0,0
2,5348,FCGR3B,UNASSIGNED,0,1
2,738,APOE,UNASSIGNED,0,0
2,8422,TGFBR1,djcjhfcd-1,1,1
2,4327,EGR2,dgnkncjk-1,0,0
2,4839,FCGBP,djcjhfcd-1,1,2
2,5351,FCGR3B,djckpagf-1,0,0
2,6379,IL2RA,UNASSIGNED,0,0
2,8430,TGFBR1,UNASSIGNED,0,0
2,4847,FCGBP,djcjhfcd-1,1,3
2,4848,FCGBP,djcjhfcd-1,1,4
2,1262,AQP4,UNASSIGNED,0,0
2,2290,CCL4,UNASSIGNED,0,2
2,2803,CD44,djcjhfcd-1,1,0
2,756,APOE,UNASSIGNED,0,0
2,2798,CD44,dgnkncjk-1,0,0
2,2806,CD44,djcjhfcd-1,1,0
2,2294,CCL4,UNASSIGNED,0,1
2,760,APOE,UNASSIGNED,0,1
2,1273,AQP4,UNASSIGNED,0,0
2,761,APOE,djcjhfcd-1,0,1
2,4859,FCGBP,djcjhfcd-1,1,1
2,1269,AQP4,djcjhfcd-1,1,0
2,5371,FCGR3B,dgnkaclh-1,1,0
2,767,APOE,djcjhfcd-1,0,4
