iteration,node_index,gene_name,cell_id,overlaps_nucleus,degree
3,8201,ST6GAL1,djcjhfcd-1,0,1
3,2060,CCL4,UNASSIGNED,0,1
3,4108,CYFIP1,UNASSIGNED,0,0
3,4115,CYFIP1,djcjhfcd-1,0,0
3,8212,ST6GAL1,dgnkncjk-1,0,0
3,20,AIF1,djcjhfcd-1,1,0
3,6163,IFITM3,dgnkncjk-1,0,0
3,4119,CYFIP1,UNASSIGNED,0,0
3,31,AIF1,djcjhfcd-1,0,0
3,35,AIF1,djcjhfcd-1,1,0
3,36,AIF1,djckpagf-1,0,0
3,6181,IFITM3,djcjhfcd-1,0,0
3,37,AIF1,djcjhfcd-1,0,0
3,4136,CYFIP1,djcjhfcd-1,0,0
3,4139,CYFIP1,dgnkncjk-1,0,1
3,46,AIF1,UNASSIGNED,0,0
3,4144,CYFIP1,djcjhfcd-1,0,0
3,6193,IFITM3,UNASSIGNED,0,0
3,4154,CYFIP1,djcjhfcd-1,0,0
3,58,AIF1,djcjhfcd-1,0,0
3,2107,CCL4,djckpagf-1,0,0
3,4166,CYFIP1,djcjhfcd-1,1,0
3,8263,STAT3,UNASSIGNED,0,0
3,94,ANXA1,djcjhfcd-1,0,0
3,8288,STAT3,djcjhfcd-1,0,0
3,8291,STAT3,djcjhfcd-1,0,0
3,8302,STAT3,djcjhfcd-1,1,0
3,8314,STXBP2,djcjhfcd-1,1,1
3,4219,DDR2,djckpagf-1,0,0
3,2183,CCL4,dgnkncjk-1,0,1
3,2184,CCL4,dgnkaclh-1,0,0
3,139,ANXA1,djcjhfcd-1,1,0
3,8334,TGFB1,djcjhfcd-1,0,0
3,8342,TGFB1,djcjhfcd-1,0,0
3,152,ANXA1,UNASSIGNED,0,0
3,8347,TGFB1,dgnkaclh-1,1,0
3,8350,TGFB1,djcjhfcd-1,1,1
3,8353,TGFB1,djcjhfcd-1,0,0
3,8357,TGFB1,djcjhfcd-1,0,0
3,4270,EGFR,dgnkncjk-1,0,0
3,6319,IGFBP5,UNASSIGNED,0,0
3,8366,TGFB2,djcjhfcd-1,0,0
3,4281,EGFR,djcjhfcd-1,0,1
3,2237,CCL4,UNASSIGNED,0,1
3,6344,IKZF2,djcjhfcd-1,0,0
3,8393,TGFBI,UNASSIGNED,0,0
3,2248,CCL4,dgnkaclh-1,1,1
3,8396,TGFBI,UNASSIGNED,0,1
3,8398,TGFBI,djcjhfcd-1,1,0
3,8406,TGFBI,djcjhfcd-1,0,1
3,4317,EGFR,djcjhfcd-1,0,0
3,2270,CCL4,dgnkaclh-1,0,0
3,4327,EGR2,dgnkncjk-1,0,2
3,2281,CCL4,djckldfg-1,1,0
3,8430,TGFBR1,UNASSIGNED,0,1
3,2287,CCL4,UNASSIGNED,0,1
3,8435,TGFBR1,djcjhfcd-1,0,0
3,8445,TGFBR1,djckpagf-1,0,0
3,8461,TGFBR1,UNASSIGNED,0,2
3,284,ANXA1,djcjhfcd-1,0,0
3,6430,ITGAX,djckpagf-1,0,1
3,4383,EGR2,UNASSIGNED,0,1
3,2344,CCL4,djckldfg-1,0,1
3,8495,TMEM119,UNASSIGNED,0,0
3,4405,EGR2,UNASSIGNED,0,0
3,6464,ITGB2,dgnkaclh-1,0,0
3,8513,TNFAIP8,dgnkaclh-1,1,0
3,6476,ITGB2,UNASSIGNED,0,3
3,6479,ITGB2,UNASSIGNED,0,1
3,339,APOE,dgnkncjk-1,1,0
