Marker,Channel Min,Channel Max,Viewer Gamma
HSV1 (C6),4810.2,26631.1,3.58
CD8,2222.1,38218.7,2.11
OLIG2,1573.6,11011.3,2.61
CD21,4627.0,27653.9,3.02
SOX2,1595.2,9412.4,3.8
CD20,4855.1,11084.6,3.8
SOX10,1044.3,14263.5,1.67
CD45,199.9,14785.8,3.27
CD3,3844.3,26078.3,3.49
CD86,150.8,6634.3,2.26
Nestin,4190.4,12461.6,2.26
GFAP,55.8,24498.3,2.07
CD39,1212.2,8950.2,2.07
CD73,201.9,509.1,1.7
NeuN,92.5,24701.7,3.03
CD44,0.0,2680.9,3.28
Granzyme B,105.1,7212.6,3.28
CD31,1784.1,21193.9,2.88
SV2A,6859.9,29649.3,2.88
CD206,1622.1,2530.1,2.28
Vimentin,2400.5,23578.0,2.22
CD40,408.2,7167.1,2.22
