cell_id,geometry
9910,"POLYGON ((5797.637695 1360.212524, 5794.024902 1360.637451, 5783.612305 1368.074951, 5769.375 1372.962524, 5765.762695 1377, 5768.524902 1388.262451, 5772.774902 1392.087524, 5780.850098 1394.425049, 5790.412598 1391.449951, 5799.762695 1379.125, 5802.524902 1369.137451, 5799.549805 1360.212524, 5797.637695 1360.212524))"
9911,"POLYGON ((5759.8125 1388.900024, 5752.162598 1391.025024, 5747.274902 1395.487549, 5744.9375 1399.949951, 5744.087402 1404.837524, 5744.9375 1410.574951, 5758.75 1411.637451, 5763.637695 1407.175049, 5767.462402 1405.474976, 5772.774902 1394.849976, 5766.399902 1390.175049, 5760.450195 1388.900024, 5759.8125 1388.900024))"
9912,"POLYGON ((5767.25 1405.6875, 5765.975098 1406.537476, 5764.274902 1406.962524, 5763.637695 1407.387451, 5758.962402 1411.637451, 5763 1413.974976, 5765.549805 1414.612549, 5766.612305 1412.0625, 5766.399902 1409.512451, 5766.612305 1408.237549, 5766.825195 1407.175049, 5767.25 1406.112549, 5767.25 1405.6875))"
9913,"POLYGON ((5772.987305 1394.849976, 5767.462402 1405.6875, 5766.612305 1409.512451, 5766.825195 1412.0625, 5765.762695 1414.612549, 5777.024902 1425.449951, 5784.037598 1421.199951, 5786.375 1415.462524, 5786.587402 1408.662476, 5783.612305 1401.650024, 5778.512695 1396.974976, 5773.200195 1394.849976, 5772.987305 1394.849976))"
9916,"POLYGON ((5780.850098 1358.9375, 5778.087402 1362.337524, 5776.174805 1366.375, 5774.475098 1370.625, 5777.024902 1370.199951, 5778.9375 1369.5625, 5784.037598 1367.650024, 5787.4375 1365.3125, 5793.8125 1360.637451, 5789.774902 1360, 5784.887695 1359.787476, 5781.274902 1358.9375, 5780.850098 1358.9375))"
9917,"POLYGON ((5784.674805 1421.412476, 5777.450195 1425.237549, 5762.362305 1435.862549, 5761.9375 1442.875, 5767.887695 1451.375, 5778.299805 1447.337524, 5786.375 1442.662476, 5801.037598 1440.112549, 5800.825195 1433.525024, 5798.274902 1428, 5793.600098 1423.75, 5785.3125 1421.412476, 5784.674805 1421.412476))"
9922,"POLYGON ((5800.825195 1440.324951, 5786.375 1442.875, 5778.299805 1447.550049, 5767.887695 1451.587524, 5769.799805 1462.849976, 5775.537598 1467.3125, 5781.487305 1468.587524, 5783.825195 1468.375, 5789.774902 1460.724976, 5802.737305 1448.824951, 5802.950195 1445.849976, 5801.037598 1440.324951, 5800.825195 1440.324951))"
9923,"POLYGON ((5744.9375 1410.787476, 5744.299805 1418.224976, 5745.575195 1422.474976, 5747.274902 1425.449951, 5755.137695 1432.887451, 5761.725098 1435.650024, 5769.375 1431.1875, 5776.8125 1425.449951, 5765.762695 1414.824951, 5763 1414.1875, 5758.537598 1411.637451, 5747.487305 1410.787476, 5744.9375 1410.787476))"
9924,"POLYGON ((5770.225098 1494.512451, 5767.674805 1495.150024, 5763.850098 1496.849976, 5761.087402 1498.550049, 5758.325195 1501.3125, 5767.25 1514.275024, 5770.4375 1517.887451, 5775.325195 1524.262451, 5786.799805 1515.974976, 5781.0625 1506.199951, 5776.600098 1499.612549, 5770.862305 1494.512451, 5770.225098 1494.512451))"
9925,"POLYGON ((5758.112305 1501.3125, 5753.4375 1503.862549, 5750.037598 1507.262451, 5746 1514.699951, 5744.9375 1518.525024, 5744.9375 1524.050049, 5747.912598 1531.0625, 5753.862305 1535.737549, 5760.875 1537.012451, 5771.712402 1528.9375, 5775.112305 1524.474976, 5758.325195 1501.525024, 5758.112305 1501.3125))"
9936,"POLYGON ((5755.350098 1082.6875, 5746 1085.449951, 5742.387695 1090.125, 5743.450195 1111.375, 5743.875 1113.712524, 5747.912598 1116.900024, 5758.537598 1119.449951, 5762.149902 1119.237549, 5766.399902 1117.537476, 5766.399902 1105.637451, 5763.850098 1084.599976, 5756.625 1082.6875, 5755.350098 1082.6875))"
9937,"POLYGON ((5778.9375 1076.3125, 5770.862305 1078.650024, 5764.0625 1084.599976, 5766.612305 1105.637451, 5766.612305 1117.537476, 5775.112305 1120.087524, 5782.762695 1118.599976, 5789.350098 1113.287476, 5795.9375 1098.412476, 5793.387695 1083.112549, 5788.5 1078.650024, 5780.424805 1076.3125, 5778.9375 1076.3125))"
9938,"POLYGON ((5782.975098 1118.599976, 5772.987305 1121.787476, 5767.037598 1130.287476, 5780 1153.237549, 5782.549805 1154.300049, 5789.350098 1153.237549, 5794.662598 1150.050049, 5799.337402 1144.099976, 5801.037598 1136.662476, 5797.850098 1125.400024, 5793.387695 1121.362549, 5784.25 1118.599976, 5782.975098 1118.599976))"
9943,"POLYGON ((5761.512695 1186.599976, 5756.200195 1194.462524, 5751.100098 1198.287476, 5747.700195 1204.237549, 5747.274902 1210.400024, 5747.487305 1214.4375, 5754.924805 1222.087524, 5760.875 1221.025024, 5767.462402 1215.925049, 5765.762695 1207.849976, 5766.1875 1198.074951, 5761.512695 1186.8125, 5761.512695 1186.599976))"
9946,"POLYGON ((5767.037598 1131.5625, 5763.637695 1135.599976, 5760.024902 1141.337524, 5751.3125 1158.550049, 5754.924805 1161.737549, 5761.299805 1164.074951, 5770.649902 1160.887451, 5778.725098 1157.0625, 5779.575195 1156, 5780.424805 1154.300049, 5780.212402 1153.662476, 5767.25 1131.775024, 5767.037598 1131.5625))"
9947,"POLYGON ((5778.9375 1157.0625, 5770.649902 1161.099976, 5761.512695 1164.074951, 5757.475098 1171.300049, 5759.8125 1178.737549, 5762.149902 1181.712524, 5774.899902 1183.837524, 5776.174805 1183.837524, 5783.399902 1175.125, 5785.737305 1167.900024, 5785.3125 1158.550049, 5779.149902 1157.0625, 5778.9375 1157.0625))"
9948,"POLYGON ((5784.674805 1173.425049, 5782.975098 1175.974976, 5779.149902 1179.800049, 5776.174805 1184.050049, 5780.212402 1187.875, 5784.674805 1184.474976, 5785.950195 1183.837524, 5789.137695 1181.5, 5787.862305 1178.3125, 5787.225098 1177.887451, 5785.950195 1175.337524, 5784.674805 1173.637451, 5784.674805 1173.425049))"
9949,"POLYGON ((5772.5625 1195.737549, 5766.612305 1198.5, 5766.1875 1199.775024, 5765.975098 1207.849976, 5767.462402 1215.074951, 5770.4375 1216.137451, 5775.537598 1215.5, 5780.637695 1212.949951, 5784.25 1209.337524, 5787.012695 1204.237549, 5782.975098 1196.375, 5773.625 1195.737549, 5772.5625 1195.737549))"
9950,"POLYGON ((5762.149902 1181.925049, 5761.725098 1186.8125, 5765.125 1193.824951, 5766.399902 1198.5, 5772.5625 1195.525024, 5782.337402 1196.162476, 5782.762695 1196.162476, 5782.762695 1195.737549, 5780 1188.087524, 5775.962402 1184.050049, 5771.712402 1183.625, 5763 1181.925049, 5762.149902 1181.925049))"
9952,"POLYGON ((5760.024902 1240.362549, 5754.712402 1241, 5749.825195 1242.912476, 5744.725098 1247.375, 5743.450195 1249.5, 5747.700195 1269.474976, 5763.637695 1263.949951, 5777.875 1256.724976, 5775.75 1249.5, 5770.862305 1244.1875, 5765.125 1241.212524, 5760.237305 1240.362549, 5760.024902 1240.362549))"
9955,"POLYGON ((5777.662598 1256.9375, 5763.637695 1264.162476, 5747.700195 1269.6875, 5746.850098 1272.875, 5747.487305 1276.912476, 5750.462402 1277.337524, 5769.375 1276.487549, 5780.850098 1277.337524, 5782.975098 1272.237549, 5783.1875 1265.862549, 5781.274902 1260.550049, 5778.087402 1256.9375, 5777.662598 1256.9375))"
9956,"POLYGON ((5764.0625 1343.212524, 5763.850098 1343.637451, 5768.3125 1353.412476, 5769.375 1357.237549, 5771.712402 1356.8125, 5775.962402 1357.025024, 5778.299805 1356.387451, 5778.512695 1355.537476, 5778.299805 1354.262451, 5777.662598 1352.137451, 5777.662598 1349.375, 5764.274902 1343.212524, 5764.0625 1343.212524))"
9957,"POLYGON ((5787.012695 1344.0625, 5781.912598 1345.974976, 5777.875 1349.587524, 5778.725098 1356.175049, 5781.487305 1358.9375, 5792.962402 1360.425049, 5799.549805 1359.787476, 5801.25 1354.050049, 5801.25 1347.675049, 5801.037598 1346.612549, 5800.1875 1345.974976, 5790.625 1344.0625, 5787.012695 1344.0625))"
9958,"POLYGON ((5763.850098 1343.849976, 5759.8125 1348.737549, 5757.049805 1353.625, 5754.924805 1359.787476, 5752.375 1372.324951, 5753.4375 1374.875, 5757.262695 1376.574951, 5761.512695 1377.212524, 5765.549805 1377, 5768.950195 1373.175049, 5769.162598 1356.8125, 5763.850098 1344.0625, 5763.850098 1343.849976))"
9959,"POLYGON ((5769.375 1276.699951, 5761.725098 1277.550049, 5747.700195 1277.337524, 5746.850098 1279.037476, 5745.787598 1286.474976, 5747.274902 1293.0625, 5752.799805 1300.074951, 5759.174805 1303.900024, 5782.125 1286.900024, 5782.125 1281.587524, 5780.850098 1277.550049, 5772.350098 1276.699951, 5769.375 1276.699951))"
9960,"POLYGON ((5774.475098 1322.175049, 5771.924805 1323.662476, 5768.950195 1326.637451, 5766.825195 1329.400024, 5765.762695 1331.949951, 5777.450195 1338.962524, 5783.399902 1340.237549, 5787.225098 1343.849976, 5794.024902 1344.487549, 5794.662598 1344.487549, 5789.137695 1337.050049, 5775.112305 1322.175049, 5774.475098 1322.175049))"
9961,"POLYGON ((5778.512695 1356.387451, 5775.962402 1357.237549, 5771.712402 1357.025024, 5769.375 1357.449951, 5769.162598 1369.987549, 5769.162598 1372.962524, 5771.712402 1371.900024, 5774.262695 1370.625, 5775.962402 1366.375, 5777.875 1362.337524, 5780.637695 1358.9375, 5778.725098 1356.387451, 5778.512695 1356.387451))"
9962,"POLYGON ((5782.337402 1286.900024, 5759.600098 1304.112549, 5760.450195 1309.212524, 5763.212402 1314.525024, 5767.887695 1319.199951, 5773.837402 1322.175049, 5782.549805 1318.987549, 5787.862305 1308.574951, 5794.662598 1297.949951, 5792.537598 1293.912476, 5788.5 1289.875, 5782.549805 1287.112549, 5782.337402 1286.900024))"
9963,"POLYGON ((5765.549805 1332.162476, 5763 1335.5625, 5764.0625 1343, 5767.462402 1344.275024, 5777.875 1349.375, 5781.912598 1345.762451, 5786.799805 1344.0625, 5787.012695 1343.849976, 5786.587402 1343.212524, 5783.399902 1340.449951, 5777.450195 1339.175049, 5765.762695 1332.162476, 5765.549805 1332.162476))"
11185,"POLYGON ((5782.337402 1319.412476, 5775.325195 1322.175049, 5780.850098 1328.550049, 5789.350098 1337.050049, 5794.237305 1343.849976, 5795.299805 1344.699951, 5799.975098 1345.550049, 5794.662598 1336.199951, 5792.962402 1329.612549, 5790.200195 1323.237549, 5788.5 1321.962524, 5782.549805 1319.625, 5782.337402 1319.412476))"
11195,"POLYGON ((5786.162598 1476.025024, 5781.912598 1476.875, 5777.450195 1479.212524, 5774.049805 1482.612549, 5772.137695 1486.012451, 5771.075195 1489.625, 5770.862305 1494.300049, 5776.387695 1499.1875, 5787.4375 1496.425049, 5792.112305 1491.75, 5792.325195 1478.362549, 5787.012695 1476.025024, 5786.162598 1476.025024))"
124162,"POLYGON ((5697.337402 1370.625, 5694.575195 1370.837524, 5684.162598 1373.175049, 5679.274902 1373.8125, 5679.274902 1378.275024, 5680.549805 1383.375, 5682.887695 1387.625, 5687.5625 1391.875, 5694.362305 1390.387451, 5702.012695 1386.5625, 5711.149902 1381.25, 5700.737305 1370.625, 5697.337402 1370.625))"
124163,"POLYGON ((5610.212402 1372.324951, 5606.174805 1373.8125, 5604.899902 1373.387451, 5601.075195 1373.387451, 5597.037598 1374.237549, 5604.6875 1379.337524, 5606.600098 1381.462524, 5607.662598 1381.037476, 5612.549805 1380.824951, 5621.6875 1379.125, 5615.737305 1375.9375, 5610.850098 1372.324951, 5610.212402 1372.324951))"
124164,"POLYGON ((5733.674805 1359.150024, 5728.149902 1361.699951, 5724.112305 1365.737549, 5719.225098 1375.724976, 5718.375 1385.074951, 5723.475098 1395.275024, 5730.700195 1398.675049, 5740.475098 1397.400024, 5746.637695 1392.512451, 5752.162598 1381.675049, 5752.375 1373.175049, 5734.3125 1359.787476, 5733.674805 1359.150024))"
124165,"POLYGON ((5594.700195 1374.025024, 5588.325195 1376.574951, 5585.774902 1378.912476, 5585.5625 1381.462524, 5599.162598 1386.5625, 5602.774902 1387.837524, 5605.112305 1385.712524, 5606.387695 1381.462524, 5604.6875 1379.550049, 5601.287598 1377.212524, 5596.825195 1374.237549, 5595.549805 1374.025024, 5594.700195 1374.025024))"
124166,"POLYGON ((5620.625 1379.337524, 5606.600098 1381.675049, 5605.325195 1385.712524, 5603.200195 1388.262451, 5606.174805 1393.362549, 5609.787598 1397.612549, 5610.424805 1397.612549, 5614.462402 1392.300049, 5618.712402 1387.837524, 5625.299805 1382.525024, 5624.875 1379.974976, 5622.325195 1379.337524, 5620.625 1379.337524))"
124167,"POLYGON ((5649.3125 1368.925049, 5640.8125 1372.537476, 5639.962402 1374.449951, 5645.0625 1381.037476, 5647.612305 1386.137451, 5647.399902 1395.912476, 5649.524902 1407.599976, 5650.162598 1408.449951, 5661.424805 1385.925049, 5665.674805 1381.462524, 5671.412598 1377, 5650.162598 1368.925049, 5649.3125 1368.925049))"
124168,"POLYGON ((5639.537598 1374.449951, 5633.587402 1377.212524, 5629.762695 1381.037476, 5628.274902 1383.587524, 5628.274902 1384.4375, 5635.712402 1392.9375, 5642.725098 1403.987549, 5649.524902 1408.025024, 5647.1875 1395.912476, 5647.399902 1386.137451, 5644.850098 1381.037476, 5639.75 1374.449951, 5639.537598 1374.449951))"
124169,"POLYGON ((5585.350098 1381.675049, 5583.012695 1385.925049, 5581.737305 1392.087524, 5588.962402 1401.650024, 5597.037598 1399.3125, 5604.262695 1397.824951, 5609.149902 1397.400024, 5605.537598 1392.724976, 5602.987305 1388.050049, 5600.649902 1386.987549, 5599.162598 1386.775024, 5585.774902 1381.675049, 5585.350098 1381.675049))"
124170,"POLYGON ((5671.412598 1377.212524, 5665.674805 1381.675049, 5660.787598 1387.199951, 5650.799805 1408.237549, 5653.137695 1410.787476, 5668.862305 1401.224976, 5680.549805 1398.25, 5681.612305 1391.449951, 5680.337402 1385.5, 5678.424805 1382.099976, 5675.450195 1379.125, 5672.049805 1377.212524, 5671.412598 1377.212524))"
124171,"POLYGON ((5711.362305 1381.25, 5702.012695 1386.775024, 5693.9375 1390.8125, 5704.350098 1401.4375, 5717.524902 1411.425049, 5719.649902 1409.300049, 5722.200195 1404.412476, 5723.262695 1400.375, 5723.262695 1395.0625, 5718.162598 1384.862549, 5716.462402 1383.162476, 5713.0625 1381.25, 5711.362305 1381.25))"
124172,"POLYGON ((5625.512695 1382.525024, 5616.587402 1390.175049, 5610.424805 1397.824951, 5612.337402 1405.6875, 5613.825195 1410.787476, 5615.950195 1413.550049, 5617.012695 1414.612549, 5626.575195 1404.837524, 5627 1394.425049, 5628.274902 1384.650024, 5627.637695 1383.587524, 5625.725098 1382.737549, 5625.512695 1382.525024))"
124173,"POLYGON ((5628.487305 1385.287476, 5627.212402 1394.425049, 5627.212402 1397.1875, 5627 1400.587524, 5626.787598 1404.625, 5628.274902 1405.050049, 5632.3125 1405.474976, 5635.712402 1404.837524, 5641.024902 1404.199951, 5642.725098 1404.199951, 5637.200195 1395.275024, 5630.825195 1387.625, 5628.487305 1385.287476))"
124174,"POLYGON ((5693.299805 1390.8125, 5687.5625 1392.087524, 5685.649902 1395.275024, 5684.162598 1401.862549, 5685.012695 1407.599976, 5691.387695 1416.949951, 5696.0625 1419.5, 5701.587402 1420.5625, 5711.575195 1417.800049, 5717.524902 1411.637451, 5704.350098 1401.650024, 5693.725098 1390.8125, 5693.299805 1390.8125))"
124175,"POLYGON ((5608.299805 1397.612549, 5597.037598 1399.525024, 5589.8125 1401.4375, 5589.174805 1402.074951, 5597.462402 1405.050049, 5599.375 1406.75, 5601.712402 1410.362549, 5612.125 1411.212524, 5613.825195 1411, 5610.637695 1399.099976, 5610.212402 1397.824951, 5609.575195 1397.612549, 5608.299805 1397.612549))"
124176,"POLYGON ((5589.174805 1402.287476, 5588.962402 1412.912476, 5590.875 1414.1875, 5596.612305 1413.125, 5600.225098 1411.425049, 5601.5 1410.574951, 5601.5 1410.150024, 5600.4375 1409.087524, 5599.162598 1406.75, 5597.462402 1405.262451, 5595.975098 1404.625, 5589.387695 1402.287476, 5589.174805 1402.287476))"
124177,"POLYGON ((5679.487305 1398.675049, 5668.862305 1401.4375, 5653.137695 1411, 5653.774902 1416.525024, 5656.112305 1421.199951, 5660.787598 1425.449951, 5666.100098 1427.362549, 5673.537598 1425.025024, 5683.3125 1417.800049, 5684.799805 1412.912476, 5684.799805 1406.962524, 5680.549805 1398.675049, 5679.487305 1398.675049))"
124178,"POLYGON ((5578.762695 1391.875, 5574.512695 1392.512451, 5569.837402 1394.849976, 5569.412598 1409.724976, 5568.350098 1420.775024, 5570.262695 1423.324951, 5572.387695 1422.900024, 5582.162598 1417.587524, 5588.75 1412.912476, 5588.962402 1401.862549, 5582.375 1392.9375, 5580.037598 1391.875, 5578.762695 1391.875))"
124179,"POLYGON ((5641.024902 1404.412476, 5632.3125 1405.6875, 5626.787598 1404.837524, 5617.225098 1414.612549, 5617.862305 1420.349976, 5619.987305 1424.387451, 5632.950195 1430.762451, 5637.412598 1430.337524, 5642.512695 1427.787476, 5648.037598 1420.349976, 5650.162598 1409.087524, 5642.9375 1404.412476, 5641.024902 1404.412476))"
124180,"POLYGON ((5601.712402 1410.574951, 5596.612305 1413.337524, 5591.087402 1414.612549, 5599.162598 1428.849976, 5611.0625 1430.125, 5614.887695 1426.9375, 5617.4375 1422.262451, 5617.862305 1420.5625, 5617.012695 1414.824951, 5614.037598 1411.425049, 5607.024902 1411.212524, 5602.5625 1410.574951, 5601.712402 1410.574951))"
124181,"POLYGON ((5588.75 1413.125, 5584.287598 1416.525024, 5572.600098 1422.900024, 5582.375 1426.300049, 5584.924805 1428, 5586.200195 1428.212524, 5588.75 1429.487549, 5592.787598 1432.462524, 5593.637695 1432.25, 5598.950195 1428.849976, 5591.299805 1415.037476, 5589.174805 1413.125, 5588.75 1413.125))"
124182,"POLYGON ((5571.75 1423.112549, 5570.6875 1423.324951, 5570.262695 1424.387451, 5572.387695 1443.724976, 5573.450195 1446.912476, 5578.975098 1449.462524, 5588.112305 1440.75, 5592.787598 1432.675049, 5588.75 1429.699951, 5584.924805 1428.212524, 5582.375 1426.512451, 5572.8125 1423.112549, 5571.75 1423.112549))"
124183,"POLYGON ((5684.799805 1417.800049, 5683.3125 1418.012451, 5673.325195 1425.237549, 5680.337402 1434.375, 5683.3125 1439.900024, 5685.012695 1439.900024, 5702.649902 1435.012451, 5701.799805 1429.912476, 5699.037598 1424.599976, 5694.149902 1420.137451, 5690.325195 1418.4375, 5686.075195 1417.800049, 5684.799805 1417.800049))"
124184,"POLYGON ((5672.899902 1425.449951, 5667.162598 1427.574951, 5664.1875 1430.550049, 5661.637695 1435.4375, 5660.787598 1438.625, 5660.787598 1443.9375, 5663.549805 1450.737549, 5677.575195 1443.300049, 5682.037598 1442.237549, 5683.100098 1440.324951, 5682.25 1437.5625, 5673.325195 1425.449951, 5672.899902 1425.449951))"
