x,y,z,feature_name,cell_id,overlaps_nucleus,transcript_id,qv,geometry
5684.0615,1292.7147,31.061806,CD3E,125184,0,281535106687110,33.059395,POINT (5684.0615234375 1292.7147216796875)
5683.9424,1293.0203,30.902435,ADGRE5,125184,1,281535106622713,40.0,POINT (5683.9423828125 1293.020263671875)
5683.583,1293.1764,30.467346,S100A4,125184,1,281535106430737,40.0,POINT (5683.5830078125 1293.1763916015625)
5688.3677,1289.0527,32.22291,ERBB2,125184,0,281535106310896,40.0,POINT (5688.36767578125 1289.052734375)
5688.6807,1289.5944,32.189617,AGR3,125184,0,281535106648135,40.0,POINT (5688.6806640625 1289.5943603515625)
5688.4385,1289.844,32.083305,NARS,125184,0,281535106893721,40.0,POINT (5688.4384765625 1289.843994140625)
5684.9165,1290.6125,31.083668,PRDM1,125184,1,281535106444048,40.0,POINT (5684.91650390625 1290.612548828125)
5686.7197,1292.3154,31.358961,AGR3,125184,0,281535106648118,40.0,POINT (5686.7197265625 1292.3154296875)
5685.9033,1292.9451,30.087711,AIF1,125184,0,281535106409827,40.0,POINT (5685.9033203125 1292.945068359375)
5684.634,1293.0958,30.5064,AIF1,125184,0,281535106310816,40.0,POINT (5684.6337890625 1293.0958251953125)
5685.949,1293.1282,30.100632,LUM,125184,0,281535106706243,40.0,POINT (5685.94921875 1293.128173828125)
5684.6313,1293.3815,28.849579,FGL2,125184,0,281535106501807,40.0,POINT (5684.63134765625 1293.3814697265625)
5691.7153,1290.0063,32.22732,ANKRD30A,125184,0,281535106333162,40.0,POINT (5691.71533203125 1290.00634765625)
5691.362,1290.2772,32.428444,CLDN4,125184,0,281535106491967,40.0,POINT (5691.36181640625 1290.2772216796875)
5691.7305,1291.2992,32.61936,CEACAM6,125184,0,281535106827110,40.0,POINT (5691.73046875 1291.2991943359375)
5692.917,1291.5779,34.572716,TPSAB1,125184,0,281535106734634,40.0,POINT (5692.9169921875 1291.577880859375)
5690.625,1291.5845,33.27489,CDH1,125184,0,281535106570163,31.253117,POINT (5690.625 1291.58447265625)
5692.1367,1291.821,32.597572,CD9,125184,0,281535106379347,40.0,POINT (5692.13671875 1291.821044921875)
5689.194,1291.8883,31.45452,CCDC80,125184,0,281535106415209,40.0,POINT (5689.19384765625 1291.8883056640625)
5691.327,1292.001,32.6996,CEACAM6,125184,0,281535106598611,40.0,POINT (5691.3271484375 1292.0009765625)
5693.4814,1292.8604,34.247288,TPSAB1,125184,0,281535106785695,40.0,POINT (5693.4814453125 1292.8603515625)
5692.697,1292.9128,34.366356,EPCAM,125184,0,281535106559991,40.0,POINT (5692.69677734375 1292.912841796875)
5684.475,1291.6127,30.582813,CXCR4,125184,1,281535106260071,40.0,POINT (5684.47509765625 1291.6126708984375)
5684.3516,1291.8967,29.502636,CD247,125184,1,281535106716439,40.0,POINT (5684.3515625 1291.896728515625)
5696.3047,1292.3326,33.784508,CDH1,125184,0,281535106570211,40.0,POINT (5696.3046875 1292.3326416015625)
5693.759,1292.4711,34.06172,TUBA4A,125184,0,281535106827141,40.0,POINT (5693.7587890625 1292.4710693359375)
5697.859,1292.8785,32.834213,CDH1,125184,0,281535106862489,40.0,POINT (5697.85888671875 1292.8785400390625)
5696.456,1293.0253,33.28275,HOXD8,125184,0,281535106893865,40.0,POINT (5696.4560546875 1293.0252685546875)
5695.2456,1293.2958,34.926445,TUBA4A,125184,0,281535106585476,31.610624,POINT (5695.24560546875 1293.2957763671875)
5696.1943,1294.0231,33.269066,SFRP4,125184,0,281535106409968,40.0,POINT (5696.1943359375 1294.0230712890625)
5694.7026,1294.64,34.67437,SERHL2,125184,0,281535106724373,40.0,POINT (5694.70263671875 1294.6400146484375)
5694.814,1295.1217,34.214375,FOXA1,125184,0,281535106560022,40.0,POINT (5694.81396484375 1295.1217041015625)
5694.363,1295.3898,34.714157,ERBB2,125184,0,281535106492017,40.0,POINT (5694.36279296875 1295.3897705078125)
5697.215,1295.4366,32.655296,SLC5A6,125184,0,281535106409975,40.0,POINT (5697.21484375 1295.4366455078125)
5691.712,1293.136,32.648407,TOMM7,125184,0,281535106559973,40.0,POINT (5691.7119140625 1293.135986328125)
5692.217,1293.1913,32.389633,CDH1,125184,0,281535106862415,40.0,POINT (5692.216796875 1293.1912841796875)
5691.0713,1293.26,32.70915,TMEM147,125184,0,281535106827101,32.52873,POINT (5691.0712890625 1293.260009765625)
5692.1978,1294.2018,33.44523,CDH1,125184,0,281535106510771,40.0,POINT (5692.19775390625 1294.2017822265625)
5692.13,1294.257,32.319954,SH3YL1,125184,0,281535106813740,40.0,POINT (5692.1298828125 1294.2569580078125)
5690.8433,1294.4583,33.094566,ANKRD30A,125184,0,281535106706369,40.0,POINT (5690.84326171875 1294.458251953125)
5689.8955,1294.9352,32.93344,GATA3,125184,0,281535106546986,40.0,POINT (5689.8955078125 1294.9351806640625)
5693.384,1294.9834,34.197334,EPCAM,125184,0,281535106752109,40.0,POINT (5693.3837890625 1294.9833984375)
5691.5703,1295.2372,32.68122,LUM,125184,0,281535106893778,40.0,POINT (5691.5703125 1295.2371826171875)
5690.958,1295.484,32.78204,GATA3,125184,0,281535106761882,40.0,POINT (5690.9580078125 1295.4840087890625)
5682.6426,1295.5339,29.044643,SEC11C,125184,0,281535106674992,40.0,POINT (5682.642578125 1295.533935546875)
