"Name","Version","License","URL"
"ConfigArgParse","1.7.1","MIT License","https://github.com/bw2/ConfigArgParse"
"Flask","3.1.2","BSD-3-Clause","https://github.com/pallets/flask/"
"Jinja2","3.1.6","BSD License","https://github.com/pallets/jinja/"
"MarkupSafe","3.0.3","BSD-3-Clause","https://github.com/pallets/markupsafe/"
"PyMetis","2023.1.1","Apache Software License; MIT License","http://mathema.tician.de/software/pymetis"
"PyYAML","6.0.3","MIT License","https://pyyaml.org/"
"Werkzeug","3.1.5","BSD-3-Clause","https://github.com/pallets/werkzeug/"
"addict","2.4.0","MIT License","https://github.com/mewwts/addict"
"aiohappyeyeballs","2.6.1","Python Software Foundation License","https://github.com/aio-libs/aiohappyeyeballs"
"aiohttp","3.13.3","Apache-2.0 AND MIT","https://github.com/aio-libs/aiohttp"
"aiosignal","1.4.0","Apache Software License","https://github.com/aio-libs/aiosignal"
"async-timeout","5.0.1","Apache Software License","https://github.com/aio-libs/async-timeout"
"attrs","25.4.0","MIT","https://www.attrs.org/en/stable/changelog.html"
"blinker","1.9.0","MIT License","https://github.com/pallets-eco/blinker/"
"certifi","2026.1.4","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"charset-normalizer","3.4.4","MIT","https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md"
"click","8.1.8","BSD License","https://github.com/pallets/click/"
"contourpy","1.3.0","BSD License","https://github.com/contourpy/contourpy"
"cycler","0.12.1","BSD License","https://matplotlib.org/cycler/"
"dash","4.0.0","MIT License","https://plotly.com/dash"
"fastjsonschema","2.21.2","BSD License","https://github.com/horejsek/python-fastjsonschema"
"filelock","3.19.1","Unlicense","https://github.com/tox-dev/py-filelock"
"fonttools","4.60.2","MIT","http://github.com/fonttools/fonttools"
"frozenlist","1.8.0","Apache-2.0","https://github.com/aio-libs/frozenlist"
"fsspec","2025.10.0","BSD-3-Clause","https://github.com/fsspec/filesystem_spec"
"geopandas","1.0.1","BSD License","https://github.com/geopandas/geopandas"
"hotnerd","0.1.1","Apache Software License","https://github.com/imlong4real/HOT-NERD"
"idna","3.11","BSD-3-Clause","https://github.com/kjd/idna"
"importlib_metadata","8.7.1","Apache-2.0","https://github.com/python/importlib_metadata"
"importlib_resources","6.5.2","Apache Software License","https://github.com/python/importlib_resources"
"itsdangerous","2.2.0","BSD License","https://github.com/pallets/itsdangerous/"
"joblib","1.5.3","BSD-3-Clause","https://joblib.readthedocs.io"
"jsonschema","4.25.1","MIT","https://github.com/python-jsonschema/jsonschema"
"jsonschema-specifications","2025.9.1","MIT","https://github.com/python-jsonschema/jsonschema-specifications"
"jupyter_core","5.8.1","BSD-3-Clause","https://jupyter.org"
"kiwisolver","1.4.7","BSD License","https://github.com/nucleic/kiwi"
"matplotlib","3.9.4","Python Software Foundation License","https://matplotlib.org"
"mpmath","1.3.0","BSD License","http://mpmath.org/"
"multidict","6.7.1","Apache License 2.0","https://github.com/aio-libs/multidict"
"narwhals","2.16.0","MIT License","https://github.com/narwhals-dev/narwhals"
"nbformat","5.10.4","BSD License","https://jupyter.org"
"nest-asyncio","1.6.0","BSD License","https://github.com/erdewit/nest_asyncio"
"networkx","3.2.1","BSD License","https://networkx.org/"
"numpy","2.0.2","BSD License","https://numpy.org"
"open3d","0.18.0","MIT License","https://www.open3d.org"
"packaging","26.0","Apache-2.0 OR BSD-2-Clause","https://github.com/pypa/packaging"
"pandas","2.3.3","BSD License","https://pandas.pydata.org"
"pillow","11.3.0","MIT-CMU","https://python-pillow.github.io"
"platformdirs","4.4.0","MIT","https://github.com/tox-dev/platformdirs"
"plotly","6.5.2","MIT License","https://plotly.com/python/"
"propcache","0.4.1","Apache Software License","https://github.com/aio-libs/propcache"
"psutil","7.2.2","BSD-3-Clause","https://github.com/giampaolo/psutil"
"pyarrow","21.0.0","Apache Software License","https://arrow.apache.org/"
"pyogrio","0.11.1","MIT License","https://github.com/geopandas/pyogrio"
"pyparsing","3.3.2","MIT","https://github.com/pyparsing/pyparsing/"
"pyproj","3.6.1","MIT License","https://github.com/pyproj4/pyproj"
"pyquaternion","0.9.9","MIT License","http://kieranwynn.github.io/pyquaternion/"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"pytz","2025.2","MIT License","http://pythonhosted.org/pytz"
"referencing","0.36.2","MIT","https://github.com/python-jsonschema/referencing"
"requests","2.32.5","Apache Software License","https://requests.readthedocs.io"
"retrying","1.4.2","Apache-2.0","https://github.com/groodt/retrying"
"rpds-py","0.27.1","MIT","https://github.com/crate-py/rpds"
"scikit-learn","1.6.1","BSD License","https://scikit-learn.org"
"scipy","1.13.1","BSD License","https://scipy.org/"
"shapely","2.0.7","BSD License","https://github.com/shapely/shapely"
"six","1.17.0","MIT License","https://github.com/benjaminp/six"
"sympy","1.14.0","BSD License","https://sympy.org"
"threadpoolctl","3.6.0","BSD License","https://github.com/joblib/threadpoolctl"
"torch","2.8.0","BSD License","https://pytorch.org/"
"torch-geometric","2.6.1","MIT License","https://pyg.org"
"tqdm","4.67.3","MPL-2.0 AND MIT","https://tqdm.github.io"
"traitlets","5.14.3","BSD License","https://github.com/ipython/traitlets"
"typing_extensions","4.15.0","PSF-2.0","https://github.com/python/typing_extensions"
"tzdata","2025.3","Apache-2.0","https://github.com/python/tzdata"
"urllib3","2.6.3","MIT","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
"yarl","1.22.0","Apache Software License","https://github.com/aio-libs/yarl"
"zipp","3.23.0","MIT","https://github.com/jaraco/zipp"
