dataset,min_comp_size,stage,column,unassigned,whole_cell,partial_cell,pseudocell,unknown,total_transcripts,note
Breast cancer Xenium,25,Original,cell_id,1988154,26071620,0,0,0,28059774,
Breast cancer Xenium,25,Stage 1,cell_id_npmi_cons_p2,5921403,18313439,3824932,0,0,28059774,
Breast cancer Xenium,25,Stage 2,cell_id_final,5299316,18313439,3824932,622087,0,28059774,
Breast cancer Xenium,25,Stage 3 (TRACER stitched),cell_id_stitched,5299316,18326600,3816187,617671,0,28059774,
Breast cancer Xenium,25,Stage 4,cell_id_spatial,5299316,16119790,6022997,617671,0,28059774,
Breast cancer Xenium,25,Stage 5 (TRACER finetuned),cell_id_finetuned,5299316,16307533,5921089,531836,0,28059774,
Lung cancer Xenium,10,Original,cell_id,1822,1435078,0,0,0,1436900,
Lung cancer Xenium,10,Stage 1,cell_id_npmi_cons_p2,99128,1113094,224678,0,0,1436900,
Lung cancer Xenium,10,Stage 2,cell_id_final,98949,1113094,224678,179,0,1436900,
Lung cancer Xenium,10,Stage 3 (TRACER stitched),cell_id_stitched,98949,1200105,137678,168,0,1436900,
Lung cancer Xenium,10,Stage 4,cell_id_spatial,98949,1088743,249040,168,0,1436900,
Lung cancer Xenium,10,Stage 5 (TRACER finetuned),cell_id_finetuned,98949,1225256,112673,22,0,1436900,
Mouse ileum MERFISH,10,Original,cell_id,0,819665,0,0,0,819665,
Mouse ileum MERFISH,10,Stage 1,cell_id_npmi_cons_p2,129604,509098,180963,0,0,819665,
Mouse ileum MERFISH,10,Stage 2,cell_id_final,129604,509098,180963,0,0,819665,
Mouse ileum MERFISH,10,Stage 3 (TRACER stitched),cell_id_stitched,129604,537832,152229,0,0,819665,
Mouse ileum MERFISH,10,Stage 4,cell_id_spatial,129604,436311,253750,0,0,819665,
Mouse ileum MERFISH,10,Stage 5 (TRACER finetuned),cell_id_finetuned,129604,445028,245033,0,0,819665,
