Dataset,n_cells,n_genes,n_transcripts_mean,n_transcripts_p80,n_transcripts_p95,relative_purity_mean,relative_purity_p80,relative_purity_p95,relative_conflict_mean,relative_conflict_p80,relative_conflict_p95,signal_strength_mean,signal_strength_p80,signal_strength_p95,cell_purity_mean,cell_purity_p80,cell_purity_p95,conflict_score_mean,conflict_score_p80,conflict_score_p95
Xenium (NE),58256,299,23.923441362263116,36.0,63.0,0.5515591424296576,0.7729934284169155,0.9968917842706659,0.44844085757034235,0.6462324119152034,0.8122838960874168,3.9094799075148936,6.0053140363552036,12.480014958188942,0.29401865705894037,0.3611111111111111,0.5,0.03195991632269151,0.04576076632244108,0.07388645991560168
Xenium (MX),58405,300,24.571149730331307,37.0,65.0,0.5474875191945131,0.7661498548526096,0.9872073174095608,0.45251248080548684,0.6474963514616936,0.8102579942574187,4.091883416263716,6.264968581340878,13.28891631771426,0.29184768906709607,0.35833333333333334,0.5,0.032136460860135815,0.04595336655552834,0.07355937836490904
Proseg,53643,300,26.76716440169267,37.0,68.0,0.7004206664794481,0.9315364519546476,1.0,0.2995793335205519,0.5101007607359399,0.738542834132047,3.143332340630149,4.752634712891032,10.628739518150743,0.3454610766388375,0.4444444444444444,0.6666666666666666,0.0213911713647518,0.03191068006357088,0.05837468465463177
Baysor,61584,300,23.21726422447389,35.0,62.0,0.5731498819792336,0.8020200611391268,1.0,0.42685011802076644,0.6354071129596116,0.8095300800311164,3.4979996828709217,5.343008520113831,11.087058395561971,0.3011378388570455,0.375,0.5303030303030303,0.030367101414509864,0.04388208646942193,0.07229130141219733
Stitched (NE),58256,299,16.928024581159022,25.0,41.0,0.8919724354082571,1.0,1.0,0.10802756459174291,0.18540265716387708,0.6639380073058992,1.5862007796337492,2.2032403701996404,4.183310571889705,0.39141626297824317,0.5357142857142857,0.7777777777777778,0.008561385533450129,0.012142825475304958,0.04109815268250109
Stitched (MX),58405,300,17.076534543275404,25.0,42.0,0.8940324941066775,1.0,1.0,0.1059675058933226,0.17852737167715435,0.6577618804221155,1.6099730252768873,2.2284041676252406,4.277055952427096,0.38805211746288454,0.5333333333333333,0.7636363636363637,0.008470884386731785,0.01175947697296629,0.040388166499041096
Fine-tuned (NE),58256,299,17.778580747047513,26.0,46.0,0.8347957899219376,1.0,1.0,0.16520421007806238,0.36037570665268187,0.7271619068195546,1.9264523799414095,2.489373570535332,6.481881732600117,0.38498852277554474,0.5303030303030303,0.7575757575757576,0.011991092238549168,0.02005482380219489,0.048698765596610405
Fine-tuned (MX),58405,299,17.873829295437034,26.0,46.0,0.8356419598508132,1.0,1.0,0.16435804014918692,0.3619477931440484,0.723812872582485,1.9493357925150852,2.501189856236862,6.627755493286745,0.38437731303433875,0.5294117647058824,0.7619047619047619,0.011944487379674552,0.020080212761243586,0.04926944154127021
Partial Cells (NE),2297,263,19.63822377013496,23.0,44.19999999999982,0.7803957410378259,1.0,1.0,0.219604258962174,0.4969109503917049,0.742917954791642,2.514880188294378,3.162098280008276,7.8027575021488325,0.42257657822717515,0.6,0.889682539682539,0.01641737884129177,0.029071190293337098,0.061635044142450995
Partial Cells (MX),2507,271,20.269246110889508,23.0,47.0,0.7691201062665171,1.0,1.0,0.23087989373348297,0.5162583181508744,0.7476750932775146,2.55585277347263,3.131367940243518,8.053629874372108,0.4223110998294375,0.6,0.9047619047619048,0.01658975156432843,0.0314085909795191,0.05545536358861449
