cell,leiden_final
1,Telocyte
2,Smooth Muscle
3,Stromal
4,Smooth Muscle
5,Smooth Muscle
6,Telocyte
7,Smooth Muscle
8,Smooth Muscle
9,Smooth Muscle
10,Smooth Muscle
11,Smooth Muscle
12,Smooth Muscle
13,Smooth Muscle
14,Smooth Muscle
15,Removed
16,ICC
17,Smooth Muscle
18,Smooth Muscle
19,Smooth Muscle
20,Smooth Muscle
21,ICC
22,Smooth Muscle
23,Smooth Muscle
24,ICC
25,Smooth Muscle
26,Stromal
27,Smooth Muscle
28,Smooth Muscle
29,Smooth Muscle
30,Smooth Muscle
31,Smooth Muscle
32,ICC
33,Smooth Muscle
34,Smooth Muscle
35,Smooth Muscle
36,Smooth Muscle
37,Smooth Muscle
38,Smooth Muscle
39,Smooth Muscle
40,Smooth Muscle
41,Removed
42,Removed
43,Telocyte
44,Smooth Muscle
45,Removed
46,Smooth Muscle
47,Smooth Muscle
48,Stromal
49,Smooth Muscle
50,Telocyte
51,Smooth Muscle
52,Telocyte
53,Smooth Muscle
54,Stromal
55,ICC
56,Smooth Muscle
57,Smooth Muscle
58,Smooth Muscle
59,Smooth Muscle
60,Smooth Muscle
61,ICC
62,Smooth Muscle
63,Smooth Muscle
64,Stromal
65,Smooth Muscle
66,Smooth Muscle
67,Endothelial
68,Removed
69,Smooth Muscle
70,Telocyte
71,Stromal
72,Smooth Muscle
73,Smooth Muscle
74,Removed
75,Telocyte
76,Stromal
77,Smooth Muscle
78,Smooth Muscle
79,Smooth Muscle
80,Stromal
81,Telocyte
82,ICC
83,Smooth Muscle
84,Smooth Muscle
85,Smooth Muscle
86,Smooth Muscle
87,ICC
88,Smooth Muscle
89,Removed
90,Macrophage + DC
91,Smooth Muscle
92,Smooth Muscle
93,Smooth Muscle
94,Smooth Muscle
95,Macrophage + DC
96,Removed
97,Smooth Muscle
98,Smooth Muscle
99,Stem + TA
100,Stromal
101,Removed
102,Smooth Muscle
103,Removed
104,Smooth Muscle
105,Removed
106,Telocyte
107,Smooth Muscle
108,Smooth Muscle
109,Stromal
110,Smooth Muscle
111,Smooth Muscle
112,Smooth Muscle
113,Removed
114,Smooth Muscle
115,Stromal
116,Telocyte
117,Smooth Muscle
118,Paneth
119,Removed
120,Stromal
121,Stromal
122,ICC
123,Macrophage + DC
124,ICC
125,Telocyte
126,Smooth Muscle
127,Smooth Muscle
128,Smooth Muscle
129,Removed
130,Removed
131,Stromal
132,Smooth Muscle
133,Stromal
134,Smooth Muscle
